id do cliente,Satisfacao_Cliente_Ordinal_Com_Empates,Engajamento_Marca_Ordinal_Com_Empates,Tempo_Uso_App_Ordinal,Pontuacao_Fidelidade_Ordinal
1,5,4,2,1
2,3,4,3,3
3,5,4,4,3
4,4,3,5,5
5,5,5,2,1
6,3,4,5,4
7,5,5,1,1
8,5,5,3,3
9,4,4,2,1
10,3,4,1,1
11,5,5,4,3
12,5,5,4,4
13,3,2,2,3
14,4,3,1,2
15,4,4,2,3
16,2,1,3,4
17,5,5,3,4
18,4,3,4,3
19,2,1,5,5
20,4,5,4,5
21,1,2,4,5
22,4,3,3,4
23,5,4,5,5
24,1,2,4,3
25,3,4,4,5
26,5,5,5,5
27,3,3,3,4
28,5,4,2,1
29,3,4,4,4
30,4,3,5,4
31,3,3,4,4
32,5,5,5,5
33,4,5,2,3
34,5,5,1,1
35,5,4,2,1
36,2,3,1,1
37,3,2,3,3
38,5,4,2,1
39,2,2,5,5
40,5,5,1,1
41,4,4,5,5
42,2,2,1,1
43,3,3,1,1
44,5,5,1,1
45,5,4,5,5
46,3,2,3,3
47,1,1,4,4
48,3,2,3,2
49,2,2,3,3
50,5,4,2,2
51,3,4,3,2
52,2,3,4,5
53,4,3,5,4
54,4,3,1,1
55,3,4,5,4
56,4,5,4,5
57,2,2,2,1
58,2,3,2,2
59,3,3,5,5
60,5,5,3,3
61,5,5,1,2
62,5,5,4,5
63,5,5,5,4
64,4,3,5,4
65,2,3,2,2
66,4,4,1,1
67,5,5,2,1
68,5,5,5,5
69,5,5,1,1
70,1,1,1,2
71,5,5,4,5
72,5,4,3,4
73,5,5,3,3
74,5,4,5,5
75,1,1,1,1
76,5,4,3,4
77,5,5,3,3
78,3,4,2,2
79,1,1,1,1
80,5,4,4,4
81,3,3,5,5
82,3,2,4,5
83,1,1,3,4
84,4,3,3,4
85,5,5,3,4
86,5,5,5,5
87,5,4,2,3
88,5,4,1,1
89,5,4,1,2
90,2,1,3,4
91,1,1,5,4
92,5,4,3,3
93,5,5,2,2
94,5,5,4,4
95,4,3,3,4
96,3,4,4,5
97,5,4,5,5
98,4,3,1,1
99,3,4,1,2
100,1,1,2,1
101,3,4,1,1
102,4,4,4,5
103,3,2,2,1
104,1,1,1,1
105,4,5,2,3
106,5,5,1,1
107,5,5,5,5
108,5,5,4,4
109,3,3,4,3
110,5,5,4,3
111,1,2,5,4
112,3,3,5,4
113,3,4,2,2
114,4,4,1,2
115,5,5,1,1
116,5,5,3,2
117,3,3,1,1
118,5,5,5,5
119,3,3,1,2
120,4,3,4,4
121,2,1,3,3
122,5,4,4,5
123,4,5,2,1
124,4,4,3,4
125,3,4,2,2
126,5,4,2,1
127,5,5,1,1
128,5,5,5,5
129,1,1,4,4
130,1,2,3,3
131,5,5,1,2
132,5,4,3,4
133,3,2,1,1
134,5,5,2,2
135,3,4,1,1
136,5,4,5,4
137,4,3,2,1
138,5,4,1,1
139,5,5,1,1
140,4,4,2,1
141,1,2,2,2
142,3,4,3,3
143,5,5,2,3
144,4,4,1,1
145,5,5,1,2
146,5,5,4,4
147,3,4,3,3
148,1,1,4,4
149,1,2,4,5
150,3,2,3,4
151,5,5,1,1
152,2,3,3,4
153,3,3,5,5
154,1,1,2,3
155,4,4,4,5
156,1,1,3,2
157,5,5,5,5
158,1,1,2,2
159,1,1,5,5
160,2,2,2,3
161,2,2,2,3
162,4,5,3,3
163,5,5,4,4
164,4,5,5,4
165,1,1,4,4
166,1,1,3,3
167,3,2,5,5
168,2,1,4,4
169,4,5,2,1
170,4,4,5,5
171,5,4,2,3
172,3,3,2,3
173,5,5,1,1
174,5,5,1,2
175,1,2,4,3
176,4,3,3,2
177,5,5,1,1
178,4,4,3,3
179,3,3,2,2
180,2,3,5,5
181,4,3,2,1
182,4,5,5,4
183,1,2,5,5
184,5,5,2,1
185,4,5,5,5
186,3,3,4,4
187,3,2,3,3
188,3,3,4,3
189,3,2,3,3
190,3,3,4,5
191,3,4,4,5
192,3,4,5,4
193,5,4,4,5
194,3,2,2,3
195,5,4,1,1
196,1,1,5,5
197,5,5,3,3
198,5,4,4,4
199,2,3,5,4
200,5,5,3,4
