Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
500001,21061,PRODUCT 21061,3,2010-01-04 09:00:00,10.67,,United Kingdom
500001,72469,PRODUCT 72469,1,2010-01-04 09:00:00,1.42,12458.0,EIRE
500001,89947,PRODUCT 89947,1,2010-01-04 09:00:00,7.44,,United Kingdom
500001,23965,PRODUCT 23965,1,2010-01-04 09:00:00,9.99,12458.0,United Kingdom
500002,17224,PRODUCT 17224,5,2010-04-01 13:00:00,19.54,13124.0,United Kingdom
500002,18913,PRODUCT 18913,5,2010-04-01 13:00:00,24.15,13124.0,United Kingdom
500003,78919,PRODUCT 78919,3,2010-01-25 17:00:00,7.63,12817.0,United Kingdom
500004,81429,PRODUCT 81429,1,2010-01-21 15:00:00,15.79,13175.0,United Kingdom
500005,27830,PRODUCT 27830,1,2010-12-15 08:00:00,24.55,,United Kingdom
500005,16222,PRODUCT 16222,2,2010-12-15 08:00:00,16.13,,United Kingdom
500006,27830,PRODUCT 27830,1,2010-08-01 16:00:00,8.9,13495.0,United Kingdom
500006,36086,PRODUCT 36086,2,2010-08-01 16:00:00,2.73,13495.0,Germany
500006,84892,PRODUCT 84892,1,2010-08-01 16:00:00,6.29,13495.0,United Kingdom
500006,79466,PRODUCT 79466,3,2010-08-01 16:00:00,11.55,13495.0,United Kingdom
500006,73677,PRODUCT 73677,1,2010-08-01 16:00:00,9.97,13495.0,United Kingdom
500006,72249,PRODUCT 72249,2,2010-08-01 16:00:00,6.61,,United Kingdom
500007,25708,PRODUCT 25708,1,2010-12-10 12:00:00,11.29,13242.0,United Kingdom
500007,89782,PRODUCT 89782,2,2010-12-10 12:00:00,4.85,,France
500007,89782,PRODUCT 89782,2,2010-12-10 12:00:00,8.22,13242.0,United Kingdom
500007,18003,PRODUCT 18003,1,2010-12-10 12:00:00,16.33,13242.0,France
500007,99017,PRODUCT 99017,1,2010-12-10 12:00:00,10.62,,France
500007,84920,PRODUCT 84920,2,2010-12-10 12:00:00,6.69,13242.0,United Kingdom
500007,87837,PRODUCT 87837,1,2010-12-10 12:00:00,2.1,13242.0,United Kingdom
500008,75562,PRODUCT 75562,2,2010-01-08 10:00:00,12.23,13063.0,France
500008,65118,PRODUCT 65118,2,2010-01-08 10:00:00,6.61,13063.0,United Kingdom
500009,92731,PRODUCT 92731,11,2010-07-15 14:00:00,69.06,13421.0,United Kingdom
500009,11514,PRODUCT 11514,18,2010-07-15 14:00:00,38.4,13421.0,United Kingdom
500009,54665,PRODUCT 54665,28,2010-07-15 14:00:00,39.96,,United Kingdom
500009,72469,PRODUCT 72469,30,2010-07-15 14:00:00,27.81,13421.0,United Kingdom
500009,89947,PRODUCT 89947,32,2010-07-15 14:00:00,31.23,,United Kingdom
500010,33908,PRODUCT 33908,3,2010-06-18 17:00:00,19.3,13221.0,United Kingdom
500010,10271,PRODUCT 10271,3,2010-06-18 17:00:00,20.19,13221.0,United Kingdom
500011,12138,PRODUCT 12138,2,2010-07-22 15:00:00,3.78,13117.0,United Kingdom
500011,17287,PRODUCT 17287,1,2010-07-22 15:00:00,10.97,,United Kingdom
500011,37492,PRODUCT 37492,2,2010-07-22 15:00:00,11.66,13117.0,United Kingdom
